"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/home/vis/Desktop/dbms_project/frontend/src/components/sidebar/NavSecondary.jsx", "JavaScript JSX", 0, 22, 0, 0, 1, 23
"/home/vis/Desktop/dbms_project/frontend/src/components/sidebar/NavUser.jsx", "JavaScript JSX", 0, 84, 0, 23, 8, 115
"/home/vis/Desktop/dbms_project/frontend/src/components/sidebar/NavUtilities.jsx", "JavaScript JSX", 0, 29, 0, 29, 5, 63
"/home/vis/Desktop/dbms_project/frontend/src/components/sidebar/SiteHeader.jsx", "JavaScript JSX", 0, 30, 0, 14, 10, 54
"/home/vis/Desktop/dbms_project/frontend/src/components/sidebar/TeamSwitcher.jsx", "JavaScript JSX", 0, 77, 0, 0, 5, 82
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/accordion.jsx", "JavaScript JSX", 0, 57, 0, 0, 8, 65
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/alert-dialog.jsx", "JavaScript JSX", 0, 124, 0, 0, 15, 139
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/alert.jsx", "JavaScript JSX", 0, 57, 0, 0, 7, 64
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/aspect-ratio.jsx", "JavaScript JSX", 0, 8, 0, 0, 4, 12
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/avatar.jsx", "JavaScript JSX", 0, 41, 0, 0, 7, 48
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/badge.jsx", "JavaScript JSX", 0, 39, 0, 0, 6, 45
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/breadcrumb.jsx", "JavaScript JSX", 0, 102, 0, 0, 11, 113
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/button.jsx", "JavaScript JSX", 0, 49, 0, 0, 6, 55
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/calendar.jsx", "JavaScript JSX", 0, 70, 0, 0, 5, 75
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/card.jsx", "JavaScript JSX", 0, 67, 0, 0, 9, 76
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/carousel.jsx", "JavaScript JSX", 0, 172, 0, 0, 24, 196
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/chart.jsx", "JavaScript JSX", 0, 275, 0, 2, 34, 311
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/checkbox.jsx", "JavaScript JSX", 0, 26, 0, 0, 5, 31
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/collapsible.jsx", "JavaScript JSX", 0, 18, 0, 0, 6, 24
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/command.jsx", "JavaScript JSX", 0, 143, 0, 0, 13, 156
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/context-menu.jsx", "JavaScript JSX", 0, 206, 0, 0, 19, 225
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/dialog.jsx", "JavaScript JSX", 0, 120, 0, 0, 14, 134
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/dropdown-menu.jsx", "JavaScript JSX", 0, 205, 0, 0, 19, 224
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/form.jsx", "JavaScript JSX", 0, 123, 0, 0, 22, 145
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/input.jsx", "JavaScript JSX", 0, 21, 0, 0, 4, 25
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/label.jsx", "JavaScript JSX", 0, 19, 0, 0, 5, 24
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/select.jsx", "JavaScript JSX", 0, 153, 0, 0, 14, 167
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/separator.jsx", "JavaScript JSX", 0, 23, 0, 0, 5, 28
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/sheet.jsx", "JavaScript JSX", 0, 127, 0, 0, 14, 141
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/sidebar.jsx", "JavaScript JSX", 0, 615, 0, 12, 53, 680
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/skeleton.jsx", "JavaScript JSX", 0, 13, 0, 0, 3, 16
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/sonner.jsx", "JavaScript JSX", 0, 26, 0, 0, 5, 31
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/table.jsx", "JavaScript JSX", 0, 112, 0, 0, 12, 124
"/home/vis/Desktop/dbms_project/frontend/src/components/ui/tooltip.jsx", "JavaScript JSX", 0, 48, 0, 0, 8, 56
"/home/vis/Desktop/dbms_project/frontend/src/context/AuthContext.jsx", "JavaScript JSX", 0, 29, 0, 0, 10, 39
"/home/vis/Desktop/dbms_project/frontend/src/handlers/sidebarHandler.js", "JavaScript", 118, 0, 0, 3, 2, 123
"/home/vis/Desktop/dbms_project/frontend/src/hooks/use-mobile.js", "JavaScript", 15, 0, 0, 0, 5, 20
"/home/vis/Desktop/dbms_project/frontend/src/lib/utils.js", "JavaScript", 5, 0, 0, 0, 2, 7
"Total", "-", 577, 6309, 120, 189, 1163, 8358
