"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "comment", "blank", "total"
"/home/vis/Desktop/dbms_project/frontend/src/api/brand-calls.js", "JavaScript", 0, 58, 0, 0, 11, 69
"/home/vis/Desktop/dbms_project/frontend/src/api/customer-calls.js", "JavaScript", 0, 22, 0, 1, 14, 37
"/home/vis/Desktop/dbms_project/frontend/src/api/data-calls.js", "JavaScript", 0, 20, 0, 0, 2, 22
"/home/vis/Desktop/dbms_project/frontend/src/api/employee-call.js", "JavaScript", 0, 213, 0, 1, 60, 274
"/home/vis/Desktop/dbms_project/frontend/src/api/facility-calls.js", "JavaScript", 0, 117, 0, 0, 14, 131
"/home/vis/Desktop/dbms_project/frontend/src/api/login-calls.js", "JavaScript", 0, 21, 0, 0, 8, 29
"/home/vis/Desktop/dbms_project/frontend/src/api/product-calls.js", "JavaScript", 0, 1, 0, 0, 1, 2
"/home/vis/Desktop/dbms_project/frontend/src/api/sales-call.js", "JavaScript", 0, 21, 0, 2, 14, 37
"/home/vis/Desktop/dbms_project/frontend/src/api/stock-calls.js", "JavaScript", 0, 21, 0, 2, 14, 37
"/home/vis/Desktop/dbms_project/frontend/src/api/transactions-calls.js", "JavaScript", 0, 21, 0, 0, 4, 25
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/add-brand/page.jsx", "JavaScript JSX", 63, 0, 0, 0, 14, 77
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/add-employee/page.jsx", "JavaScript JSX", 220, 0, 0, 13, 34, 267
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/add-facility/page.jsx", "JavaScript JSX", 89, 0, 0, 1, 20, 110
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/brand/page.jsx", "JavaScript JSX", 258, 0, 0, 7, 51, 316
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/customers/page.jsx", "JavaScript JSX", 201, 0, 0, 17, 43, 261
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/employee/page.jsx", "JavaScript JSX", 310, 0, 0, 7, 47, 364
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/facility/page.jsx", "JavaScript JSX", 291, 0, 0, 7, 51, 349
